timestamp,value
2021-01-18T01:00:00+01:00,79
2021-01-19T01:00:00+01:00,80
2021-01-20T01:00:00+01:00,78
2021-01-21T01:00:00+01:00,75
2021-01-22T01:00:00+01:00,40
2021-01-23T01:00:00+01:00,74
2021-01-24T01:00:00+01:00,70
2021-01-25T01:00:00+01:00,74
2021-01-26T01:00:00+01:00,71
2021-01-27T01:00:00+01:00,78
2021-01-28T01:00:00+01:00,55
2021-01-29T01:00:00+01:00,77
2021-01-30T01:00:00+01:00,76
2021-01-31T01:00:00+01:00,78
2021-02-01T01:00:00+01:00,77
2021-02-02T01:00:00+01:00,76
2021-02-03T01:00:00+01:00,78
2021-02-04T01:00:00+01:00,80
2021-02-05T01:00:00+01:00,81
2021-02-06T01:00:00+01:00,84
2021-02-07T01:00:00+01:00,86
2021-02-08T01:00:00+01:00,83
2021-02-09T01:00:00+01:00,95
2021-02-10T01:00:00+01:00,92
2021-02-11T01:00:00+01:00,93
2021-02-12T01:00:00+01:00,92
2021-02-13T01:00:00+01:00,92
2021-02-14T01:00:00+01:00,95
2021-02-15T01:00:00+01:00,93
2021-02-16T01:00:00+01:00,95
2021-02-17T01:00:00+01:00,95
2021-02-18T01:00:00+01:00,91
2021-02-19T01:00:00+01:00,93
2021-02-20T01:00:00+01:00,91
2021-02-21T01:00:00+01:00,91
2021-02-22T01:00:00+01:00,94
2021-02-23T01:00:00+01:00,94
2021-02-24T01:00:00+01:00,76
2021-02-25T01:00:00+01:00,79
2021-02-26T01:00:00+01:00,55
2021-02-27T01:00:00+01:00,56
2021-02-28T01:00:00+01:00,55
2021-03-01T01:00:00+01:00,38
2021-03-02T01:00:00+01:00,78
2021-03-03T01:00:00+01:00,78
2021-03-04T01:00:00+01:00,84
2021-03-05T01:00:00+01:00,77
2021-03-06T01:00:00+01:00,77
2021-03-07T01:00:00+01:00,76
2021-03-08T01:00:00+01:00,81
2021-03-09T01:00:00+01:00,81
2021-03-10T01:00:00+01:00,68
2021-03-11T01:00:00+01:00,73
2021-03-12T01:00:00+01:00,70
2021-03-13T01:00:00+01:00,74
2021-03-14T01:00:00+01:00,78
2021-03-15T01:00:00+01:00,76
2021-03-16T01:00:00+01:00,71
2021-03-17T01:00:00+01:00,71
2021-03-18T01:00:00+01:00,72
2021-03-19T01:00:00+01:00,71
2021-03-20T01:00:00+01:00,75
2021-03-21T01:00:00+01:00,73
2021-03-22T01:00:00+01:00,70
2021-03-23T01:00:00+01:00,66
2021-03-24T01:00:00+01:00,65
2021-03-25T01:00:00+01:00,60
2021-03-26T01:00:00+01:00,54
2021-03-27T01:00:00+01:00,65
2021-03-28T01:00:00+01:00,74
2021-03-29T02:00:00+02:00,72
2021-03-30T02:00:00+02:00,72
2021-03-31T02:00:00+02:00,76
2021-04-01T02:00:00+02:00,74
2021-04-02T02:00:00+02:00,74
2021-04-03T02:00:00+02:00,73
2021-04-04T02:00:00+02:00,74
2021-04-05T02:00:00+02:00,71
2021-04-06T02:00:00+02:00,75
2021-04-07T02:00:00+02:00,72
2021-04-08T02:00:00+02:00,73
2021-04-09T02:00:00+02:00,70
2021-04-10T02:00:00+02:00,70
2021-04-11T02:00:00+02:00,76
2021-04-12T02:00:00+02:00,74
2021-04-13T02:00:00+02:00,74
2021-04-14T02:00:00+02:00,75
2021-04-15T02:00:00+02:00,79
2021-04-16T02:00:00+02:00,78
2021-04-17T02:00:00+02:00,76
2021-04-18T02:00:00+02:00,79
2021-04-19T02:00:00+02:00,74
2021-04-20T02:00:00+02:00,73
2021-04-21T02:00:00+02:00,73
2021-04-22T02:00:00+02:00,65
2021-04-23T02:00:00+02:00,55
2021-04-24T02:00:00+02:00,37
2021-04-25T02:00:00+02:00,31
2021-04-26T02:00:00+02:00,27
2021-04-27T02:00:00+02:00,50
2021-04-28T02:00:00+02:00,59
2021-04-29T02:00:00+02:00,52
2021-04-30T02:00:00+02:00,51
2021-05-01T02:00:00+02:00,68
2021-05-02T02:00:00+02:00,66
2021-05-03T02:00:00+02:00,61
2021-05-04T02:00:00+02:00,68
2021-05-05T02:00:00+02:00,48
2021-05-06T02:00:00+02:00,65
2021-05-07T02:00:00+02:00,64
2021-05-08T02:00:00+02:00,67
2021-05-09T02:00:00+02:00,73
2021-05-10T02:00:00+02:00,72
2021-05-11T02:00:00+02:00,61
2021-05-12T02:00:00+02:00,68
2021-05-13T02:00:00+02:00,31
2021-05-14T02:00:00+02:00,26
2021-05-15T02:00:00+02:00,27
2021-05-16T02:00:00+02:00,20
2021-05-17T02:00:00+02:00,27
2021-05-18T02:00:00+02:00,21
2021-05-19T02:00:00+02:00,23
2021-05-20T02:00:00+02:00,11
2021-05-21T02:00:00+02:00,19
2021-05-22T02:00:00+02:00,12
2021-05-23T02:00:00+02:00,14
2021-05-24T02:00:00+02:00,10
2021-05-25T02:00:00+02:00,22
2021-05-26T02:00:00+02:00,22
2021-05-27T02:00:00+02:00,27
2021-05-28T02:00:00+02:00,21
2021-05-29T02:00:00+02:00,18
2021-05-30T02:00:00+02:00,10
2021-05-31T02:00:00+02:00,18
2021-06-01T02:00:00+02:00,20
2021-06-02T02:00:00+02:00,23
2021-06-03T02:00:00+02:00,24
2021-06-04T02:00:00+02:00,27
2021-06-05T02:00:00+02:00,24
2021-06-06T02:00:00+02:00,17
2021-06-07T02:00:00+02:00,15
2021-06-08T02:00:00+02:00,13
2021-06-09T02:00:00+02:00,14
2021-06-10T02:00:00+02:00,21
2021-06-11T02:00:00+02:00,21
2021-06-12T02:00:00+02:00,28
2021-06-13T02:00:00+02:00,23
2021-06-14T02:00:00+02:00,28
2021-06-15T02:00:00+02:00,38
2021-06-16T02:00:00+02:00,33
2021-06-17T02:00:00+02:00,26
2021-06-18T02:00:00+02:00,25
2021-06-19T02:00:00+02:00,23
2021-06-20T02:00:00+02:00,21
2021-06-21T02:00:00+02:00,23
2021-06-22T02:00:00+02:00,10
2021-06-23T02:00:00+02:00,14
2021-06-24T02:00:00+02:00,22
2021-06-25T02:00:00+02:00,27
2021-06-26T02:00:00+02:00,20
2021-06-27T02:00:00+02:00,22
2021-06-28T02:00:00+02:00,25
2021-06-29T02:00:00+02:00,25
2021-06-30T02:00:00+02:00,28
2021-07-01T02:00:00+02:00,28
2021-07-02T02:00:00+02:00,21
2021-07-03T02:00:00+02:00,24
2021-07-04T02:00:00+02:00,27
2021-07-05T02:00:00+02:00,29
2021-07-06T02:00:00+02:00,20
2021-07-07T02:00:00+02:00,28
2021-07-08T02:00:00+02:00,20
2021-07-09T02:00:00+02:00,20
2021-07-10T02:00:00+02:00,20
2021-07-11T02:00:00+02:00,20
2021-07-12T02:00:00+02:00,25
2021-07-13T02:00:00+02:00,20
2021-07-14T02:00:00+02:00,21
2021-07-15T02:00:00+02:00,20
2021-07-16T02:00:00+02:00,22
2021-07-17T02:00:00+02:00,15
2021-07-18T02:00:00+02:00,19
2021-07-19T02:00:00+02:00,24
2021-07-20T02:00:00+02:00,19
2021-07-21T02:00:00+02:00,10
2021-07-22T02:00:00+02:00,21
2021-07-23T02:00:00+02:00,23
2021-07-24T02:00:00+02:00,22
2021-07-25T02:00:00+02:00,27
2021-07-26T02:00:00+02:00,26
2021-07-27T02:00:00+02:00,32
2021-07-28T02:00:00+02:00,50
2021-07-29T02:00:00+02:00,50
2021-07-30T02:00:00+02:00,53
2021-07-31T02:00:00+02:00,60
2021-08-01T02:00:00+02:00,60
2021-08-02T02:00:00+02:00,48
2021-08-03T02:00:00+02:00,48
2021-08-04T02:00:00+02:00,42
2021-08-05T02:00:00+02:00,50
2021-08-06T02:00:00+02:00,52
2021-08-07T02:00:00+02:00,69
2021-08-08T02:00:00+02:00,74
2021-08-09T02:00:00+02:00,65
2021-08-10T02:00:00+02:00,71
2021-08-11T02:00:00+02:00,70
2021-08-12T02:00:00+02:00,70
2021-08-13T02:00:00+02:00,70
2021-08-14T02:00:00+02:00,76
2021-08-15T02:00:00+02:00,71
2021-08-16T02:00:00+02:00,72
2021-08-17T02:00:00+02:00,72
2021-08-18T02:00:00+02:00,73
2021-08-19T02:00:00+02:00,70
2021-08-20T02:00:00+02:00,70
2021-08-21T02:00:00+02:00,78
2021-08-22T02:00:00+02:00,76
2021-08-23T02:00:00+02:00,79
2021-08-24T02:00:00+02:00,79
2021-08-25T02:00:00+02:00,73
2021-08-26T02:00:00+02:00,75
2021-08-27T02:00:00+02:00,71
2021-08-28T02:00:00+02:00,78
2021-08-29T02:00:00+02:00,72
2021-08-30T02:00:00+02:00,73
2021-08-31T02:00:00+02:00,73
2021-09-01T02:00:00+02:00,71
2021-09-02T02:00:00+02:00,74
2021-09-03T02:00:00+02:00,74
2021-09-04T02:00:00+02:00,72
2021-09-05T02:00:00+02:00,73
2021-09-06T02:00:00+02:00,79
2021-09-07T02:00:00+02:00,79
2021-09-08T02:00:00+02:00,47
2021-09-09T02:00:00+02:00,45
2021-09-10T02:00:00+02:00,46
2021-09-11T02:00:00+02:00,31
2021-09-12T02:00:00+02:00,32
2021-09-13T02:00:00+02:00,44
2021-09-14T02:00:00+02:00,30
2021-09-15T02:00:00+02:00,49
2021-09-16T02:00:00+02:00,53
2021-09-17T02:00:00+02:00,48
2021-09-18T02:00:00+02:00,50
2021-09-19T02:00:00+02:00,53
2021-09-20T02:00:00+02:00,50
2021-09-21T02:00:00+02:00,27
2021-09-22T02:00:00+02:00,21
2021-09-23T02:00:00+02:00,27
2021-09-24T02:00:00+02:00,33
2021-09-25T02:00:00+02:00,28
2021-09-26T02:00:00+02:00,27
2021-09-27T02:00:00+02:00,26
2021-09-28T02:00:00+02:00,25
2021-09-29T02:00:00+02:00,24
2021-09-30T02:00:00+02:00,20
2021-10-01T02:00:00+02:00,27
2021-10-02T02:00:00+02:00,54
2021-10-03T02:00:00+02:00,49
2021-10-04T02:00:00+02:00,54
2021-10-05T02:00:00+02:00,59
2021-10-06T02:00:00+02:00,68
2021-10-07T02:00:00+02:00,76
2021-10-08T02:00:00+02:00,74
2021-10-09T02:00:00+02:00,72
2021-10-10T02:00:00+02:00,71
2021-10-11T02:00:00+02:00,71
2021-10-12T02:00:00+02:00,78
2021-10-13T02:00:00+02:00,70
2021-10-14T02:00:00+02:00,70
2021-10-15T02:00:00+02:00,71
2021-10-16T02:00:00+02:00,78
2021-10-17T02:00:00+02:00,79
2021-10-18T02:00:00+02:00,78
2021-10-19T02:00:00+02:00,75
2021-10-20T02:00:00+02:00,82
2021-10-21T02:00:00+02:00,84
2021-10-22T02:00:00+02:00,75
2021-10-23T02:00:00+02:00,74
2021-10-24T02:00:00+02:00,73
2021-10-25T02:00:00+02:00,72
2021-10-26T02:00:00+02:00,76
2021-10-27T02:00:00+02:00,73
2021-10-28T02:00:00+02:00,66
2021-10-29T02:00:00+02:00,70
2021-10-30T02:00:00+02:00,73
2021-10-31T02:00:00+02:00,74
2021-11-01T01:00:00+01:00,74
2021-11-02T01:00:00+01:00,73
2021-11-03T01:00:00+01:00,76
2021-11-04T01:00:00+01:00,73
2021-11-05T01:00:00+01:00,73
2021-11-06T01:00:00+01:00,71
2021-11-07T01:00:00+01:00,73
2021-11-08T01:00:00+01:00,75
2021-11-09T01:00:00+01:00,84
2021-11-10T01:00:00+01:00,75
2021-11-11T01:00:00+01:00,77
2021-11-12T01:00:00+01:00,74
2021-11-13T01:00:00+01:00,72
2021-11-14T01:00:00+01:00,74
2021-11-15T01:00:00+01:00,72
2021-11-16T01:00:00+01:00,71
2021-11-17T01:00:00+01:00,52
2021-11-18T01:00:00+01:00,54
2021-11-19T01:00:00+01:00,34
2021-11-20T01:00:00+01:00,43
2021-11-21T01:00:00+01:00,49
2021-11-22T01:00:00+01:00,50
2021-11-23T01:00:00+01:00,33
2021-11-24T01:00:00+01:00,42
2021-11-25T01:00:00+01:00,32
2021-11-26T01:00:00+01:00,47
2021-11-27T01:00:00+01:00,21
2021-11-28T01:00:00+01:00,27
2021-11-29T01:00:00+01:00,33
2021-11-30T01:00:00+01:00,40
2021-12-01T01:00:00+01:00,34
2021-12-02T01:00:00+01:00,32
2021-12-03T01:00:00+01:00,31
2021-12-04T01:00:00+01:00,25
2021-12-05T01:00:00+01:00,18
2021-12-06T01:00:00+01:00,16
2021-12-07T01:00:00+01:00,25
2021-12-08T01:00:00+01:00,28
2021-12-09T01:00:00+01:00,29
2021-12-10T01:00:00+01:00,24
2021-12-11T01:00:00+01:00,16
2021-12-12T01:00:00+01:00,27
2021-12-13T01:00:00+01:00,28
2021-12-14T01:00:00+01:00,21
2021-12-15T01:00:00+01:00,28
2021-12-16T01:00:00+01:00,29
2021-12-17T01:00:00+01:00,23
2021-12-18T01:00:00+01:00,24
2021-12-19T01:00:00+01:00,29
2021-12-20T01:00:00+01:00,25
2021-12-21T01:00:00+01:00,27
2021-12-22T01:00:00+01:00,45
2021-12-23T01:00:00+01:00,34
2021-12-24T01:00:00+01:00,41
2021-12-25T01:00:00+01:00,39
2021-12-26T01:00:00+01:00,37
2021-12-27T01:00:00+01:00,40
2021-12-28T01:00:00+01:00,41
2021-12-29T01:00:00+01:00,27
2021-12-30T01:00:00+01:00,22
2021-12-31T01:00:00+01:00,28
2022-01-01T01:00:00+01:00,21
2022-01-02T01:00:00+01:00,29
2022-01-03T01:00:00+01:00,29
2022-01-04T01:00:00+01:00,23
2022-01-05T01:00:00+01:00,24
2022-01-06T01:00:00+01:00,15
2022-01-07T01:00:00+01:00,18
2022-01-08T01:00:00+01:00,10
2022-01-09T01:00:00+01:00,23
2022-01-10T01:00:00+01:00,23
2022-01-11T01:00:00+01:00,21
2022-01-12T01:00:00+01:00,22
2022-01-13T01:00:00+01:00,21
2022-01-14T01:00:00+01:00,21
2022-01-15T01:00:00+01:00,23
2022-01-16T01:00:00+01:00,21
2022-01-17T01:00:00+01:00,22
2022-01-18T01:00:00+01:00,24